;id;type;legislative_period;session;volume_pdf;volume_protocol;session_number;date;year;speaker;title_toc;search_term;pp;homosexuality_main;political_orientation;party;position;denomination;origin_city;origin_region;constituency;profession;professional_group;comment;content
0;Protokolle_1897_04_05_01;Sitzung;IX;IV;7;149;206;05. April 1897;1897;Julius Lenzmann;Zweite Berathung des Entwurfs eines Handelsgesetzbuchs nebst Einfuehrungsgesetz (Nr. 632, Zu 632, 735, ad 735 der Anlagen) - paragraphparagraph 70, 71 Kuendigung ohne Kuendigungsfrist;widernat*;5522–5524;0;linksliberal;Deutsche Freisinnige Volkspartei;Abgeordneter;evangelisch;Hagen;Westfalen;3 Arnsberg;"Rechtsanwalt; Notar";Jurist;hier S. 5523f.;man gesprochen angestellte unsittlichen lebensanschauungen familie hineintragen leichter prinzipal angestellten familienverkehr passt entfernt naheliegender prinzipal verdacht unsittlichen lebenswandels lebenswandel berechtigten verdacht erweckt unsittlicher mensch meinetwegen widernatuerlichen lastern hingiebt reputation angestellten lange vernichtet geschaedigt genoethigt laengere dienstverhaeltniss erfahrung einfach monatelang prinzipal lebenswandel skandal gedient befuerchten sittlichkeit einfluss danken engagement menschen derartigen dienstverhaeltniss gestanden sittliche wirthschaftliche interesse menschen erheischt recht unsittlichen lebenswandel stoehnenden prinzipal entfernt intensiver antrags roeren spricht  . .
1;Protokolle_1898_01_13_01;Sitzung;IX;V;1;159;16;13. Januar 1898;1898;August Bebel;Erste Berathung des von den Abgeordneten Prinz von Arenberg, Groeber, Letocha, Dr. Rintelen, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderung und Ergaenzung des Strafgesetzbuchs (Nr. 35 der Anlagen);"widernat*; paragraph175";410–418;0;sozialdemokratisch;SPD;Abgeordneter;Dissident;Koeln;Rheinprovinz;8 Elsass-Lothringen;"Drechslermeister; Schriftsteller";Autor/Journalist;hier S. 410;ich insbesondere eingang bestimmungen paragraf 175 — handelt widernatuerlichen unzucht — auge nothwendig kommission gewaehlt — stimme gewaehlt erachtens gesetzentwurf kommisstonsberathung gesetzeskraft erlangen — alsdann insbe sondere preussische staatsregierung ersucht gewisses material berliner sittenpolizei verfuegung vorzulegen pruefung bestimmung paragraf 175 eingangs aufrecht erhalten duerfen aufrecht erhalten erweitern bester quelle bekannt polizei maennern paragraf 175 zuchthaus bedrohte verbrechen begehen erfahrung bringt staatsanwalt nennt personen hinzuschreibt gleichen grunde bereits registern enthalten (hoert hoert links) personen gross greift gesellschaftskreise untersten hoechsten polizei pflichtmaessig schuldigkeit thaete preussische staat gezwungen verbrechen paragraf 175 berlin begangen suehnen neue gefaengnissanstalten bauen (bewegung hoert hoert) — uebertreibung handelt levetzow tausende personen gesellschaftskreisen entsteht bestimmung eingang paragraf 175 maenner frauen auszudehnen verbrechen begangen falle geschlecht recht ist billig gebiete berliner polizei — reden — volle pflicht schuldigkeit gaebe skandal skandal welt skandal panamaskandal dreyfusskandal luetzowleckert tauschnormann schumannskandal reine kinderspiel gruende ausserordentlicher laxheit seitens polizei verbrechen paragraf bestraft behandelt paragraf 175 strafgesetz gehandhabt strafgesetz gruenden punkte gehandhabt ausnahmsweise gehandhabt entsteht strafbestimmung aufrecht erhalten hinzufuegen session — beruecksichtigt — gedruckte petition vorliegen unterzeichnet person anzahl kollegen parteien schriftsteller gelehrtenkreisen juristen besten klanges psycho pathologen sachverstaendigen ranges gebiete gruenden begreiflicherweise naeheren auseinandersetzen meinung vertreten aenderung strafgesetzgebung gebiete sinne einzutreten beseitigung bestimmung paragraf 175 herbeigefuehrt . .
2;Protokolle_1898_01_19_01;Sitzung;IX;V;1;159;20;19. Januar 1898;1898;Martin Schall ;Fortsetzung und Schluss der ersten Berathung des von den Abgeordneten Prinz von Arenberg, Groeber, Letocha, Dr. Rintelen, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderung und Ergaenzung des Strafgesetzbuchs (Nr. 35 der Anlagen);"widernat*; paragraph175";516–519;0;konservativ;Deutschkonservative Partei;Abgeordneter;evangelisch;Schlaupitz;Provinz Schlesien;7 Potsdam;Prediger;Geistlicher;hier S. 516f.;der abgeordnete bebel neulich paragraf 175 strafgesetzbuchs widernatuerlichen unzucht handelt polizei verfolge praxis maenner zuchthaus bedrohte verbrechen begehen einfach registriren gehoerten tausende personen gesellschaftskreisen gestehe mittheilung bebel geradezu erschreckt gewissem sinne konsterniert aufs tiefste deprimiert bebel angezogene petition maennern beruehmten berufsschichten unterschrieben bebel unterschrieben — unterschrift — bekommen aufhebung paragrafen verlangt raethsel gestanden ueberhaupt moeglich maenner oeffentlicher stellung sittlichem urteil petition einreichen handelt verbrechen bereits apostel paulus schlimmsten versuendigungen lastern alten heidenthums briefe roemer kapitel hingestellt dessentwegen alte heidenthum verdienten untergaenge verfallen ort einzugehen glaube kommission vertreter regierung bitten vollstaendig verschlossene gebiet einblick verschaffen zustaende vorhanden abgeordneten bebel ausgesagt gesetzes unnatuerlichen lastern vergehen verbrechen entgegenzutreten strafen natur verbrechen christlich sittlichen grundsaetzen entsprechen volle ruecksichtslose durchfuehrung praxis polizei rechtspflege ermoeglichen garantiren . .
3;Protokolle_1899_03_09_01;Sitzung;X;I;2;166;52;09. Maerz 1899;1899;Ernst Himburg;Erste Berathung des Entwurfs eines Gesetzes, betreffend Aenderungen und Ergaenzungen des Strafgesetzbuchs (Nr. 112 der Anlagen), in Verbindung mit a) der ersten Berathung des von den Abgeordneten Prinz von Arenberg, Groeber, Letocha, Dr. Rintelen, Roeren, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderungen und Ergaenzungen des Strafgesetzbuchs (Nr. 31 der Anlagen) und d) der Berathung des Antrages Freiherr von StummHalberg wegen Verschaerfung derjenigen Strafen, welche fuer Sittlichkeitsverbrechen, insbesondere fuer die gegen Kinder gerichteten, vorgesehen sind (Nr. 124 der Anlage);"paragraph175; widernat*";1414–1415;0;konservativ;Deutschkonservative Partei;Abgeordneter;evangelisch;Hohengoehren;Provinz Sachsen;2 Magdeburg;"Amtsgerichtsrat; Rittergutsbesitzer; Prem.-Leutnant a.D. zu Osterburg";Jurist;hier S. 1415;seit jahren kurzen zwischenraeumen petitionen zugegangen bezwecken paragraf 175 aufzuheben widernatuerliche unzucht personen maennlichen geschlechts bestraft petitionen vielfach angesehenen personen unterschrieben gruende hauptsache derartige vergehungen vorkommen regel krankhafte veranlagung zurueckzufuehren zug krankhaften veranlagung justiz gearbeitet (sehr richtig rechts) ueberhaupt bedenklich freisprechungen erfolgen geistesstoerung vorgelegen (sehr wahr rechts) angezeigt kompetentes urteil abgeben spreche eigene meinung vielfach aufgefallen strafbare namentlich schwer strafbare handlung verbrechen passirt thaeter geisteskrank erklaert vorkommen krankhafter geistiger stoerung verbrechen — paragraf 175 — begangen zweifellos genuegen einzelnen falle festgestellt unbestritten erwiesen freisprechung halte unangaengig daraufhin generell paragrafen aufzuheben vielfach rechter derartige beschraenkung koerper mag moeglich — glaube paragrafen aufheben volk verstehen . .
4;Protokolle_1899_03_09_02;Sitzung;X;I;2;166;52;09. Maerz 1899;1899;Dr. med. Friedrich Karl Endemann;Erste Berathung des Entwurfs eines Gesetzes, betreffend Aenderungen und Ergaenzungen des Strafgesetzbuchs (Nr. 112 der Anlagen), in Verbindung mit a) der ersten Berathung des von den Abgeordneten Prinz von Arenberg, Groeber, Letocha, Dr. Rintelen, Roeren, Dr. Spahn, Dr. Stephan eingebrachten Entwurfs eines Gesetzes, betreffend Aenderungen und Ergaenzungen des Strafgesetzbuchs (Nr. 31 der Anlagen) und d) der Berathung des Antrages Freiherr von StummHalberg wegen Verschaerfung derjenigen Strafen, welche fuer Sittlichkeitsverbrechen, insbesondere fuer die gegen Kinder gerichteten, vorgesehen sind (Nr. 124 der Anlage);*sexu*;1415–1417;0;nationalliberal;Nationalliberale Partei;Abgeordneter;evangelisch;Kassel;Provinz Hessen-Nassau;2 Kassel;"Sanitaetsrat; Arzt; Vizebuergermeister (Kassel)";Mediziner;hier S. 1415;meine wende vorredner bemerkung paragrafen homosexualitaet — ausdruck gebrauchen — strafe gesetzt wissen laesst streiten gestehe stehe standpunkt wende abgeordneten freiherrn stumm jurist verwechselung strafmaximum strafminimum nachher gewisses erstaunen versetzt kritik einzelnen urteile hohe reichstag absolut folgen herr staatssekretaer reichsjustizamts genaue darstellung entstehung vorlage stimme vielem ueberein namentlich vorlage vorlage gewissen zusammenhanges entbehrt sehr richtig entbehrt zusammenhanges zusammenhang berathung vorlage nothwendig erinnere paragraphparagraph 180 181 184 find verschiedene themata nachher nachweisen wuensche namentlich vorlage tiefe beunruhigung jetzt bestehenden paragraphparagraph 180 181 strafgesetzbuchs gewisser weise recht traurige folgen . .
5;;;;;;;;;1900;.;.;.;.;;;;;;;;;;;;. . .
6;Protokolle_1901_02_21_01;Sitzung;X;II;2;180;54;21.02.1901;1901;Graf Franz von Ballestrem;Petitionen, welche zur Eroerterung im Plenum nicht als geeignet erachtet werden (Nr. 128 der Anlagen);"*wissenschaftlich humanitaer*; paragraph175";1506;1;politischer Katholizismus;Zentrum;Praesident;katholisch;Plawniowitz;Provinz Schlesien;4 Oppeln;"Majoratsherr; Major a.D.";Militaer;;wir abstimmung abaenderungsantrag gestellt widerspricht annehmen haus antrage petitionskommission reichstag beschliessen petition 166 staedte worms speyer germersheim betreffend einberufung reichskommisston pruefung sanitaeren verhaeltnisse mehreren staaten gemeinsamen stroeme reichskanzler erwaegung ueberweisen zustimmt — widerspricht zweite gegenstand tagesordnung erledigt dritten gegenstaende tagesordnung petitionen kommission petitionen geeignet eroerterung plenum erachtet hauses niedergelegt (nr 128 drucksachen) nummer petitionen petitionskommission geeignet eroerterung plenum erachtet tz 28 geschaeftsordnung eroerterung reichstage gelangen diejenigen petitionen eroerterung kommission 15 mitgliedern reichstages angetragen unterschrieben 15 mitgliedern reichstags metzger genossen lautet reichstag beschliessen petition wissenschaftlichhumanitaeren komitees (abaenderung tz 175 strafgesetzbuchs — petitionsverzeichniss 161) berathung plenum petition 161 ausscheiden vorausgeschickt diskussion petitionen — schliesse zustimmung annehmen antrage petitionskommission zustimmen — konstatiere veranlassen petenten demgemaess beschiessen tagesordnung erschoepft material plenarsitzungen faengt mangeln sehr wuenschenswerth verschiedenen kommissionen besonders kommission reichshaushaltsetat freie foerdern schlage plenarsitzung naechste plenarsitzung 25 mittags 1 tagesordnung 1 eventuell zweite berathung entwurfs gesetzes abaenderung strandungsordnung (nr 149 drucksachen) 2 berichte wahlpruefungskommission betreffend wahl mitglieder reichstags firzlaff baron schmid henning schulze steinen haenel goetz olenhusen zwick graf doenhofffriedrichstein hilbck grassmann vorschlag erhebt widerspruch tagesordnung fest abtheilungen berufe wahl beschlossenen kommission 14 mitgliedern kommission konstituierung plenum mitglieder reichstags hermes kuechly dasbach bachem schmid (jmmenstadt) sittard xiii kommission scheiden duerfen — widerspruch erhebt veranlasse 3 5 1 4 abtheilung unmittelbar sitzung erforderlichen ersatzwahlen vorzunehmen schliesse sitzung (schluss sitzung 4 11 minuten) . .
7;;;;;;;;;1902;.;.;.;.;;;;;;;;;;;;. . .
8;Protokolle_1903_01_21_01;Sitzung;X;II;8;186;243;21.01.1903;1903;Max Hugo Liebermann von Sonnenberg;Fortsetzung der ersten Berathung des Entwurfs eines Gesetzes, betreffend die Feststellung des Reichshaushalts-Etats fuer das Rechnungsjahr 1903, in Verbindung mit der ersten Berathung der Entwuerfe a) eines Gesetzes, betreffend die Feststellung des Haushalts-Etats fuer die Schutzgebiete auf das Rechnungsjahr 1903, b) eines Gesetzes, betreffend Verwendung der Mehrertraege der Ueberweisungssteuern zur Schuldentilgung (Nr. 798, 799, 803 der Anlagen);hirschfeld;7458–7463;0;antisemitisch;Deutschsoziale Reformpartei;Abgeordneter;evangelisch;Weisswasser;Provinz Westpreussen;3 Kassel;"Premierlieutnant a. D.; Herausgeber und Eigentuemer der Wochenschrift ""Deutsch-soziale Blaetter"" zu Gr.-Lichterfelde";Militaer;hier S. 7460f.;wozu welt juden hirschfeld genossen neugebauten grundstuecke bellevuestrasse abkaufen thatsaechlich recht einsehen unterhaendler hohe provisionen verdienen moechten fiskalisches terrain vorhanden reichsmarineamt tempelhofer feld bauen . .
9;Protokolle_1904_06_11_01;Sitzung;XI;I;4;200;96;11.06.1904;1904;Dr. jur. Udo Graf zu Stolberg-Werningerode;"Beratung von Berichten der Petitionskommission -- Der 6., 9. und 19. Bericht (Nr. 307,
310 und 407 der Anlagen) werden
von der Tagesordnung abgesetzt";paragraph175;3111;0;konservativ;Deutschkonservative Partei;Vizepraesident;evangelisch;Berlin;Provinz Brandenburg;6 Gumbinnen;"Wirklicher Geheimer Rat; Oberpraesident z. D.; Generalmajor à la suite der Armee; Besitzer der Fideikommisse Kreppelhof in Schlesien und Doenhoffstaedt in Ostpreussen sowie des Rittergutes Cammin in der Neumark";Verwalter/Beamter;;"wir naechsten gegenstand tagesordnung k) 19 betreffend aenderung paragraf 175 strafgesetzbuchs (nr 407 drucksachen) berichterstatter abgeordnete thaler l9
kommission beantragt uebergang tagesordnung
zur geschaeftsordnung abgeordnete graf hompesch . ."
