;Unnamed: 0;id;type;legislative_period;session;volume_pdf;volume_protocol;session_number;date;year;speaker;title_toc;search_term;pp;homosexuality_main;political_orientation;party;position;denomination;origin_city;origin_region;constituency;profession;professional_group;comment;speech_sentiment;n_of_lexicon_words;n_of_countable_words
47;45;Protokolle_1907_12_03_06;Sitzung;XII;I;;229;64;03.12.1907;1907;Dr. phil. Hermann Paasche;Fortsetzung der ersten Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1908, b) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1908, c) eines Gesetzes zur Aenderung des paragraph 2 des Gesetzes betreffend die deutsche Flotte vom 14. Juni 1900 (Reichsgesetzblatt Seite 255) — (Nr. 477, 478, 474 der Anlagen);harden;2021–2022;0;nationalliberal;Nationalliberale Partei;Abgeordneter;evangelisch;Burg;Provinz Sachsen;4 Koblenz;"Lehrer; Privatdozent; Professor; Landwirt";Lehrer/Professor;hier S. 2021;-0.1953;0;6
48;46;Protokolle_1907_12_04_01;Sitzung;XII;I;;229;65;04.12.1907;1907;Karl von Einem;"Fortsetzung der ersten Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1908, b) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete
auf das Rechnungsjahr 1908,
c) eines Gesetzes zur Aenderung des paragraph 2 
des Gesetzes betreffend die deutsche Flotte
vom 14. Juni 1900 (Reichsgesetzblatt
Seite 255) (Nr. 477, 478, 474 der Anlagen) ";"moltke-harden; *sexu*";2024–2027;0;k.A.;k.A.;General der Kavallerie, Staats- und Kriegsminister, Bevollmaechtigter zum Bundesrat fuer das Koenigreich Preussen;evangelisch;Herzberg am Harz;Provinz Hannover;;Generalleutnant;Militaer;hier S. 2025f.;0.7822;0;69
49;47;Protokolle_1907_12_11_01;Sitzung;XII;I;;229;71;11.12.1907;1907;Carl Legien;Fortsetzung und Schluss der ersten Beratung des Entwurfs eines Bereinsgesetzes, in Verbindung mit der Beratung des 24. Berichts der Petitionskommission, Schaffung eines Reichs-Vereins- und -Versammlungsrechts betreffend (Nr. 482, 422 der Anlagen);harden;2076–2083;0;sozialdemokratisch;SPD;Abgeordneter;Dissident;Marienburg;Provinz Westpreussen;7 Schleswig-Holstein;"Vorsitzender der Generalkommission der Gewerkschaften Deutschlands in Niederschoenhausen b. Berlin; Drechsler; Redakteur";Geschaeftsfuehrer/Kaufmann/Industrieller;hier S. 2180f.;0.2549;0;51
50;48;Protokolle_1908_01_23_01;Sitzung;XII;I;;230;87;23.01.1908;1908;Robert Gyssling;Dritte Beratung des Entwurfs eines Gesetzes betreffend die Bestrafung der Majestaetsbeleidigung (Nr. 348, 564 der Anlagen);harden;2668–2669;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Dzubiellen Gut;Provinz Ostpreussen;3 Koenigsberg;Rechtsanwalt;Jurist;hier S. 2669;-0.6839;0;5
51;49;Protokolle_1908_02_01_01;Sitzung;XII;I;;230;92;01.02.1908;1908;Dr. jur. Udo Graf zu Stolberg-Werningerode;Beratung von Berichten der Petitionskommission - 59. Bericht Abaenderung bezw. Aufhebung des paragraph175 des Strafgesetzbuches (Nr. 604 der Anlagen);"paragraph175; petition";2829–2830;0;konservativ;Deutschkonservative Partei;Praesident ;evangelisch;Berlin;Provinz Brandenburg;6 Gumbinnen;"Wirklicher Geheimer Rat; Oberpraesident z. D.; Generalmajor à la suite der Armee; Besitzer der Fideikommisse Kreppelhof in Schlesien und Doenhoffstaedt in Ostpreussen sowie des Rittergutes Cammin in der Neumark";Verwalter/Beamter;hier S. 2830;0.225;0;3
52;50;Protokolle_1908_02_01_02;Sitzung;XII;I;;230;92;01.02.1908;1908;Theodor Kirsch;Beratung von Berichten der Petitionskommission - 59. Bericht Abaenderung bezw. Aufhebung des paragraph175 des Strafgesetzbuches (Nr. 604 der Anlagen);petition;2831;1;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Duesseldorf;Rheinprovinz;4 Duesseldorf;Amtsgerichtsrat;Jurist;;0;0;0
53;51;Protokolle_1908_02_01_03;Sitzung;XII;I;;230;92;01.02.1908;1908;Dr. jur. Udo Graf zu Stolberg-Werningerode;Beratung von Berichten der Petitionskommission - 59. Bericht Abaenderung bezw. Aufhebung des paragraph175 des Strafgesetzbuches (Nr. 604 der Anlagen);"paragraph175; hirschfeld";2831;1;konservativ;Deutschkonservative Partei;Praesident;evangelisch;Berlin;Provinz Brandenburg;6 Gumbinnen;"Wirklicher Geheimer Rat; Oberpraesident z. D.; Generalmajor à la suite der Armee; Besitzer der Fideikommisse Kreppelhof in Schlesien und Doenhoffstaedt in Ostpreussen sowie des Rittergutes Cammin in der Neumark";Verwalter/Beamter;;0.4999;0;8
54;52;Protokolle_1908_02_01_04;Sitzung;XII;I;;230;92;01.02.1908;1908;Paul Singer;Beratung von Berichten der Petitionskommission - 59. Bericht Abaenderung bezw. Aufhebung des paragraph175 des Strafgesetzbuches (Nr. 604 der Anlagen);petition;2831;1;sozialdemokratisch;SPD;Abgeordneter;juedisch;Berlin;Provinz Brandenburg;4 Berlin;"Privatier; Kaufmann; Inhaber; Vorsitzender";Geschaeftsfuehrer/Kaufmann/Industrieller;;-0.3623;0;4
55;53;Protokolle_1908_02_01_05;Sitzung;XII;I;;230;92;01.02.1908;1908;Dr. med. Otto Mugdan ;Beratung von Berichten der Petitionskommission - 59. Bericht Abaenderung bezw. Aufhebung des paragraph175 des Strafgesetzbuches (Nr. 604 der Anlagen);petition;2831;1;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Breslau;Provinz Schlesien;9 Liegnitz;"Sanitaetsrat; Arzt";Mediziner;;-0.0048;0;1
56;54;Protokolle_1908_02_03_01;Sitzung;XII;I;;230;93;03.02.1908;1908;August Bebel;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Verwaltung des Reichsheeres, Preussen, Besoldung des Kriegsministers;paragraph175;2850–2860;0;sozialdemokratisch;SPD;Abgeordneter;Dissident;Koeln;Rheinprovinz;1 Hamburg;"Drechslermeister; Schriftsteller";Autor/Journalist;hier S. 2853;-3.2421;0;40
