;Unnamed: 0;id;type;legislative_period;session;volume_pdf;volume_protocol;session_number;date;year;speaker;title_toc;search_term;pp;homosexuality_main;political_orientation;party;position;denomination;origin_city;origin_region;constituency;profession;professional_group;comment;speech_sentiment;n_of_lexicon_words;n_of_countable_words
67;65;Protokolle_1908_02_20_03;Sitzung;XII;I;;230;106;20.02.1908;1908;Wilhelm Bruhn;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Reichsjustizverwaltung, Besoldung des Staatssekretaers (Fortsetzung der Diskussion);moltke-harden;3288–3291;0;antisemitisch;Deutschsoziale Reformpartei;Abgeordneter;evangelisch;Saal;Provinz Pommern;1 Frankfurt;"Zeitungsverleger; Lehrer";Lehrer/Professor;hier S. 3290;-2.1924;0;18
68;66;Protokolle_1908_02_20_04;Sitzung;XII;I;;230;106;20.02.1908;1908;Dr. jur. Wilhelm Varenhorst;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Reichsjustizverwaltung, Besoldung des Staatssekretaers (Fortsetzung der Diskussion);moltke-harden;3298–3302;0;konservativ;Deutsche Reichspartei;Abgeordneter;evangelisch;Fuerstenau;Provinz Hannover;17 Hannover;"Amtsrichter; Publizist";Jurist;hier S. 3299;-1.8824;0;23
69;67;Protokolle_1908_02_20_05;Sitzung;XII;I;;230;106;20.02.1908;1908;Wladislaus Kasimir Seyda;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Reichsjustizverwaltung, Besoldung des Staatssekretaers (Fortsetzung der Diskussion);moltke;3291–3297;0;k.A.;Polnische Fraktion;Abgeordneter;katholisch;Lobsens;Provinz Posen;8 Posen;Rechtsanwalt;Jurist;hier S. 3293 Moltke nur in Zuruf links;-3.6992;0;43
70;68;Protokolle_1908_02_21_01;Sitzung;XII;I;;230;107;21.02.1908;1908;Dr. jur. Ernst Mueller;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Reichsjustizverwaltung, Besoldung des Staatssekretaers (Fortsetzung der Diskussion);moltke-harden;3329–3334;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Muehlhof;Koenigreich Bayern;1 Sachsen-Meiningen;Koeniglicher Landgerichtsrat;Jurist;hier S. 3332;-1.5842;0;19
71;69;Protokolle_1908_02_21_02;Sitzung;XII;I;;230;107;21.02.1908;1908;Dr. jur. Ludwig Frank;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Reichsjustizverwaltung, Besoldung des Staatssekretaers (Fortsetzung der Diskussion);harden;3320–3325;0;sozialdemokratisch;SPD;Abgeordneter;juedisch;Nonnenweier;Grossherzogtum Baden;11 Baden;Rechtsanwalt;Jurist;hier S. 3321;-1.7201;0;21
72;70;Protokolle_1908_02_25_01;Sitzung;XII;I;;230;108;25.02.1908;1908;Wolfgang Heine;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908 - Reichsjustizverwaltung, Besoldung des Staatssekretaers (Fortsetzung und Schluss der Diskussion);harden;3378–3381;1;sozialdemokratisch;SPD;Abgeordneter;evangelisch;Posen;Provinz Posen;3 Berlin;Rechtsanwalt;Jurist;;-0.8869;0;21
73;71;Protokolle_1908_03_17_01;Sitzung;XII;I;;231;124;17.03.1908;1908;Dr. med. Wilhelm Arning;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1908: 1. Reichsschatzamt - namentliche Abstimmung ueber den Abaenderungsantrag Graf v. Hompesch und Genossen zu Kap. 68 Tit. 8 der fortdauernden Ausgaben (Veteranenbeihilfen), 2. Reichskolonialamt - Staatssekretaer bezw. Verwaltung im allgemeinen, in Verbindung mit der ersten Beratung a) der Ergaenzung des dem Reichstage vorliegenden Entwurfs zum Haushaltsetat fuer die Schutzgebiete auf das Rechnungsjahr 1908, b) der zweiten Ergaenzung des dem Reichstage vorliegenden Entwurfs des Reichshaushaltsetats fuer das Rechnungsjahr 1908, c) eines Gesetzes betreffend die Deckung ausserordentlicher Beduerfnisse der Schutzgebiete (mit Ausnahme des Suedwestafrikanischen Schutzgebiets und von Kiautschou) um Wege der Anleihe, d) eines Gesetzes wegen Aenderung des paragraph 2 des Gesetzes betreffend die Gewaehrung eines Darlehns an das Schutzgebiet Togo vom 23. Juli 1904 (Reichs-Gesetzbl. S. 329), e) eines Gesetzes wegen Aenderung des Gesetzes betreffend der Gewaehrung eines Darlehns an das Suedwestafrikanische Schutzgebiet vom 16. Maerz 1907 (Reichs-Gesetzbl. S. 73) - (Nr. 769, 770, 771 der Anlagen);paragraph 175;4044;0;nationalliberal;Nationalliberale Partei;Abgeordneter;evangelisch;Hannover;Provinz Hannover;7 Hannover;Augenarzt;Mediziner;;0.0396;0;8
74;72;Protokolle_1908_12_05_01;Sitzung;XII;I;;233;177;05.12.1908;1908;Philipp Scheidemann;Erste Beratung des Entwurfs eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1909, in Verbindung mit der ersten Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete fuer das Rechnungsjahr 1909, b) eines Gesetzes betreffend die Feststellung eines fuenften Nachtrags zum Reichshaushaltsetat fuer das Rechnungsjahr 1908, und c) eines Besoldungsgesetzes — (Nr. 1069, 1070, 1068, 1022 der Anlagen) ................................;"eulenburg; kamarilla";6020–6030;0;sozialdemokratisch;SPD;Abgeordneter;Dissident;Kassel;Provinz Hessen-Nassau;3 Duesseldorf;"Schriftsetzergeselle; Redakteur; Schriftsteller";Autor/Journalist;hier S. 6028;-2.7394;0;55
75;73;Protokolle_1908_12_11_01;Sitzung ;XII;I;;233;181;11.12.1908;1908;Mathias Erzberger ;Fortsetzung und Schluss der ersten Beratung des Entwurfs eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1909, in Verbindung mit der ersten Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete fuer das Rechnungsjahr 1909, b) eines Gesetzes betreffend die Feststellung eines fuenften Nachtrags zum Reichshaushaltsetat fuer das Rechnungsjahr 1908, c) eines Besoldungsgesetzes — (Nr. 1069, 1070, 1068, 1022 der Anlagen);"eulenburg; harden";6161–6171;0;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Buttenhausen;Koenigreich Wuerttemberg;16 Wuerttemberg;"Publizist; Redakteur";Autor/Journalist;hier S. 6166f.;-2.3578;0;49
76;74;Protokolle_1908_12_11_02;Sitzung;XII;I;;233;181;11.12.1908;1908;Wilhelm Freiherr von Schoen;Fortsetzung und Schluss der ersten Beratung des Entwurfs eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1909, in Verbindung mit der ersten Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete fuer das Rechnungsjahr 1909, b) eines Gesetzes betreffend die Feststellung eines fuenften Nachtrags zum Reichshaushaltsetat fuer das Rechnungsjahr 1908, c) eines Besoldungsgesetzes — (Nr. 1069, 1070, 1068, 1022 der Anlagen);eulenburg;6171–6173;0;k.A.;k.A.;"Wirklicher Geheimer Rat; Staatssekretaer des Auswaertigen Amts; Bevollmaechtigter zum Bundesrat";evangelisch;Worms;Grossherzogtum Hessen;;"Diplomat; Botschaftsrat";Verwalter/Beamter;hier S. 6171;-0.3319;0;7
77;75;Protokolle_1908_12_11_03;Sitzung;XII;I;;233;181;11.12.1908;1908;Mathias Erzberger ;Fortsetzung und Schluss der ersten Beratung des Entwurfs eines Gesetzes betreffend die Feststellung des Reichshaushaltsetats fuer das Rechnungsjahr 1909, in Verbindung mit der ersten Beratung der Entwuerfe a) eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete fuer das Rechnungsjahr 1909, b) eines Gesetzes betreffend die Feststellung eines fuenften Nachtrags zum Reichshaushaltsetat fuer das Rechnungsjahr 1908, c) eines Besoldungsgesetzes — (Nr. 1069, 1070, 1068, 1022 der Anlagen);eulenburg;6187;0;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Buttenhausen;Koenigreich Wuerttemberg;16 Wuerttemberg;"Publizist; Redakteur";Autor/Journalist;hier S. 6187;0.6001;0;15
78;76;Protokolle_1909_01_18_01;Sitzung;XII;I;;234;187;18.01.1909;1909;Dr. jur. Emil Belzer;Zweite Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1909 — Reichs-Justizverwaltung, Reichs-Justizamt, Besoldung des Staatssekretaers;"hirschfeld; eulenburg; moltke-harden; paragraph175";6337–6340;0;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Baden-Baden;Grossherzogtum Baden;1 Sigmaringen;Koeniglich Preussischer Amtsgerichtsrat;Jurist;hier S. 6339f.;1.2931;0;42
79;77;Protokolle_1909_01_18_02;Sitzung;XII;I;;234;187;18.01.1909;1909;Dr. Rudolf Arnold Nieberding;Zweite Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1909 — Reichs-Justizverwaltung, Reichs-Justizamt, Besoldung des Staatssekretaers;eulenburg;6340–6344;0;k.A.;k.A.;"Wirklicher Geheimer Rat; Staatssekretaer des Reichsjustizamts; Bevollmaechtigter zum Bundesrat";evangelisch;Konitz;Provinz Westpreussen;;"Jurist; Geheimrat; Justizminister";Verwalter/Beamter;hier S. 6340f.;-0.0514;0;15
80;78;Protokolle_1909_01_18_03;Sitzung;XII;I;;234;187;18.01.1909;1909;Dr. jur. Karl Rudolf Heinze;Zweite Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1909 — Reichs-Justizverwaltung, Reichs-Justizamt, Besoldung des Staatssekretaers;eulenburg;6344–6346;0;nationalliberal;Nationalliberale Partei;Abgeordneter;evangelisch;Oldenburg;Grossherzogtum Oldenburg;5 Sachsen;Landgerichtsdirektor;Jurist;hier S. 6345;2.0349;0;18
81;79;Protokolle_1909_01_18_04;Sitzung;XII;I;;234;187;18.01.1909;1909;Wolfgang Heine;Zweite Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1909 — Reichs-Justizverwaltung, Reichs-Justizamt, Besoldung des Staatssekretaers;"eulenburg; moltke-harden";6346–6351;1;sozialdemokratisch;SPD;Abgeordneter;evangelisch;Posen;Provinz Posen;3 Berlin;Rechtsanwalt;Jurist;;-43.0928;0;459
82;80;Protokolle_1909_01_18_05;Sitzung;XII;I;;234;187;18.01.1909;1909;Dr. jur. Bruno Ablass;Zweite Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1909 — Reichs-Justizverwaltung, Reichs-Justizamt, Besoldung des Staatssekretaers;eulenburg;6351–6356;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Bunzlau;Provinz Schlesien;8 Liegnitz;"Rechtsanwalt; Notar";Jurist;hier S. 6351f.;0.5026;0;11
83;81;Protokolle_1909_01_18_06;Sitzung;XII;I;;234;187;18.01.1909;1909;Dr. jur. Karl Becker;Zweite Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1909 — Reichs-Justizverwaltung, Reichs-Justizamt, Besoldung des Staatssekretaers;eulenburg;6357–6360;0;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Gut Schoenrath;Rheinprovinz;5 Koeln;Landgerichtsrat;Jurist;hier S. 6357;0.3259;0;18
84;82;Protokolle_1909_01_19_01;Sitzung;XII;I;;234;188;19.01.1909;1909;Dr. jur. Ernst Mueller;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1909 —Reichs-Justizverwaltung,Reichs-Justizamt: Besoldung des Staatssekretaers, bezw.Justizwesen im allgemeinen (Fortsetzung und Schluss der Diskussion);eulenburg;6367–6372;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Muehlhof;Koenigreich Bayern;1 Sachsen-Meiningen;Koeniglicher Landgerichtsrat;Jurist;hier S. 6369;-1.4246;0;12
85;83;Protokolle_1909_01_19_02;Sitzung;XII;I;;234;188;19.01.1909;1909;Dr. Sigismund von Dziembowski-Pomian;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1909 —Reichs-Justizverwaltung,Reichs-Justizamt: Besoldung des Staatssekretaers, bezw.Justizwesen im allgemeinen (Fortsetzung und Schluss der Diskussion);eulenburg;6372–6374;0;k.A.;Polnische Fraktion;Abgeordneter;katholisch;Schloss Goranin;Provinz Posen;4 Bromberg;Rechtsanwalt beim Koeniglichen Oberlandesgericht in Posen;Jurist;hier S: 6372;-2.5495;0;18
86;84;Protokolle_1909_01_19_03;Sitzung;XII;I;;234;188;19.01.1909;1909;Ludwig Werner ;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1909 —Reichs-Justizverwaltung,Reichs-Justizamt: Besoldung des Staatssekretaers, bezw.Justizwesen im allgemeinen (Fortsetzung und Schluss der Diskussion);eulenburg;6379–6381;0;antisemitisch;Deutschsoziale Reformpartei;Abgeordneter;evangelisch;Rittergut Bubenrode;Provinz Hessen-Nassau;6 Kassel;Redakteur;Autor/Journalist;hier S. 6380;-5.2979;0;22
87;85;Protokolle_1909_01_19_04;Sitzung;XII;I;;234;188;19.01.1909;1909;Dr. jur. Siegfried Heckscher;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1909 —Reichs-Justizverwaltung,Reichs-Justizamt: Besoldung des Staatssekretaers, bezw.Justizwesen im allgemeinen (Fortsetzung und Schluss der Diskussion);eulenburg;6382–6385;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Hamburg;Hansestadt Hamburg;10 Schleswig-Holstein;Rechtsanwalt;Jurist;hier S. 6384f.;-2.1867;0;18
88;86;Protokolle_1909_01_28_01;Sitzung;XII;I;;234;195;28.01.1909;1909;Georg Gothein;Fortsetzung der Beratung des Antrags der Abgeordneten Albrecht und Genossen betreffend Regelung des Vertragsverhaeltnisses zwischen den in land- und forstwirtschaftlichen Betrieben beschaeftigten Arbeitern und ihren Arbeitgebern sowie zwischen dem Gesinde und dessen Arbeitgebern, in Verbindung mit dem 32. und 52. Bericht der Petitionskommission (Nr. 101, 452, 501 der Anlagen);paragraph175;6586–6590;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Neumarkt;Provinz Schlesien;2 Stralsund;"Bergrat; Syndikus; Publizist";Verwalter/Beamter;hier S. 6586;-0.3752;0;16
89;87;Protokolle_1909_03_30_01;Sitzung;XII;I;;236;237;30.03.1909;1909;Dr. phil. Eduard David;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1909, — Reichskanzler und Reichskanzlei (Fortsetzung und Schluss) -- Innere Politik;kamarilla;7849–7862;0;sozialdemokratisch;SPD;Abgeordneter;evangelisch;Ediger an der Mosel;Rheinprovinz;9 Hessen;"Schriftsteller; Publizist";Autor/Journalist;hier S. 7860 ;0.5213;0;16
90;88;Protokolle_1909_03_30_02;Sitzung;XII;I;;236;237;30.03.1909;1909;Bernhard Fuerst von Buelow;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1909, — Reichskanzler und Reichskanzlei (Fortsetzung und Schluss) -- Innere Politik;kamarilla;7869–7874;0;k.A.;parteilos;Reichskanzler;evangelisch;Klein Flottbek;Hansestadt Hamburg;;"Jurist; Diplomat; Staatssekretaer; Riechskanzler";Verwalter/Beamter;hier S. 7870;0.5595;0;7
91;89;Protokolle_1909_03_30_03;Sitzung;XII;I;;236;237;30.03.1909;1909;Joseph Leopold Emmel;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1909, — Reichskanzler und Reichskanzlei (Fortsetzung und Schluss) -- Innere Politik;kamarilla;7877–7880;0;sozialdemokratisch;SPD;Abgeordneter;Dissident;Hendern;Rheinprovinz;2 Elsass-Lothringen;"Bauschlossergehilfe; Kaufmann; Geschaeftsfuehrer der ""Muehlhauser Volkszeitung""";Geschaeftsfuehrer/Kaufmann/Industrieller;hier S. 7878;0.4562;0;6
92;90;Protokolle_1909_04_23_01;Sitzung;XII;I;;236;246;23.04.1909;1909;Karl Engelen;Erste Beratung des Entwurfs eines Gesetzes betreffend Aenderung des Strafgesetzbuchs (Nr. 1262 der Anlagen);"eulenburg; moltke; paragraph175";8128–8231;1;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Osnabrueck;Provinz Hannover;3 Hannover;Amtsgerichtsrat;Jurist;;-26.4597;0;268
93;91;Protokolle_1909_04_23_02;Sitzung;XII;I;;236;246;23.04.1909;1909;Dr. Arthur Osann jr.;Erste Beratung des Entwurfs eines Gesetzes betreffend Aenderung des Strafgesetzbuchs (Nr. 1262 der Anlagen);eulenburg;8135–8138;0;nationalliberal;Nationalliberale Partei;Abgeordneter;evangelisch;Darmstadt;Grossherzogtum Hessen;4 Hessen;Rechtsanwalt;Jurist;hier S. 8136;-3.3413;0;21
94;92;Protokolle_1909_04_23_03;Sitzung;XII;I;;236;246;23.04.1909;1909;Karl Franz Egon Frohme;Erste Beratung des Entwurfs eines Gesetzes betreffend Aenderung des Strafgesetzbuchs (Nr. 1262 der Anlagen);"eulenburg; moltke-harden";8138–8143;0;sozialdemokratisch;SPD;Abgeordneter;Dissident;Hannover;Provinz Hannover;8 Schleswig-Holstein;"Publizist; Schriftsteller; Redakteur des ""Hamburger Echo""; Maschinenbauer (unselbst.)";Autor/Journalist;hier S. 8142;-4.1403;0;75
95;93;Protokolle_1909_04_24_01;Sitzung;XII;I;;236;247;24.04.1909;1909;Dr. jur. Siegfried Heckscher;Fortsetzung und Schluss der ersten Beratung des Entwurfs eines Gesetzes betreffend Aenderung des Strafgesetzbuchs (Nr. 1262 der Anlagen);moltke-harden;8154–8156;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Hamburg;Hansestadt Hamburg;10 Schleswig-Holstein;Rechtsanwalt;Jurist;hier S. 8156;-4.7042;0;26
96;94;Protokolle_1910_01_15_01;Sitzung;XII;II;;258;17;15.01.1910;1910;Wolfgang Heine;Erste Beratung des Entwurfs eines Gesetzes betreffend Aenderung des Strafgesetzbuchs (Nr. 6 der Anlagen);eulenburg;569–570;0;sozialdemokratisch;SPD;Abgeordneter;evangelisch;Posen;Provinz Posen;3 Berlin;Rechtsanwalt;Jurist;hier S. 570;-0.8653;0;18
97;95;Protokolle_1910_01_20_01;Sitzung;XII;II;;258;21;20.01.1910;1910;Dr. jur. Emil Belzer;Zweite Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1910 - Reichsjustizverwaltung;eulenburg;698–702;0;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Baden-Baden;Grossherzogtum Baden;1 Sigmaringen;Koeniglich Preussischer Amtsgerichtsrat;Jurist;hier S. 702;2.0246;0;28
98;96;Protokolle_1910_01_31_01;Sitzung;XII;II;;259;27;31.01.1910;1910;Mathias Erzberger;Zweite Beratung des Entwurfs eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1910 (Nr. 11, 208 der Anlagen);widernat*;924–932;0;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Buttenhausen;Koenigreich Wuerttemberg;16 Wuerttemberg;"Publizist; Redakteur";Autor/Journalist;hier S. 928f.;0.5092;0;16
99;97;Protokolle_1910_01_31_02;Sitzung;XII;II;;259;27;31.01.1910;1910;Heinrich Dove;Zweite Beratung des Entwurfs eines Gesetzes betreffend die Feststellung des Haushaltsetats fuer die Schutzgebiete auf das Rechnungsjahr 1910 (Nr. 11, 208 der Anlagen);paragraph175;947–948;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Berlin;Provinz Brandenburg;2 Merseburg;"Landgerichtsrat a. D.; Syndikus der Handelskammer zu Berlin";Jurist;hier S. 947;-2.374;0;30
100;98;Protokolle_1911_02_21_01;Sitzung;XII;II;;264;131;21.02.1911;1911;Dr. jur. Emil Belzer;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1911 (Nr. 546, 548, 721 der Anlagen) — Reichsjustizverwaltung, Besoldung des Staatssekretaer;eulenburg;4779–4784;0;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Baden-Baden;Grossherzogtum Baden;1 Sigmaringen;Koeniglich Preussischer Amtsgerichtsrat;Jurist;hier S. 4783f.;-3.3382;0;21
101;99;Protokolle_1911_02_21_02;Sitzung;XII;II;;264;131;21.02.1911;1911;Dr. Hermann Lisco;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1911 (Nr. 546, 548, 721 der Anlagen) — Reichsjustizverwaltung, Besoldung des Staatssekretaer;eulenburg;4791–4793;0;k.A.;k.A.;Wirklicher Geheimer Rat, Staatssekretaer des Reichsjustizamts, Bevollmaechtigter zum Bundesrat;evangelisch;Berlin;Provinz Brandenburg;;"Amtsrichter; Oberlandesgerichtsrat; Oberjustizrat";Jurist;hier S. 4793;0.2661;0;10
102;100;Protokolle_1911_02_21_03;Sitzung;XII;II;;264;131;21.02.1911;1911;Dr. jur. Bruno Ablass;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1911 (Nr. 546, 548, 721 der Anlagen) — Reichsjustizverwaltung, Besoldung des Staatssekretaer;"eulenburg; paragraph175";4795–4811;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Bunzlau;Provinz Schlesien;8 Liegnitz;"Rechtsanwalt; Notar";Jurist;hier S. 4797–4801;-0.5701;0;32
103;101;Protokolle_1911_02_22_01;Sitzung;XII;II;;264;132;22.02.1911;1911;Ludwig Werner;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1911 (Nr. 546, 548, 721 der Anlagen) — Reichsjustizverwaltung: Besoldung des Staatssekretaers (Fortsetzung und Schluss der Diskussion);eulenburg;4824–4825;0;antisemitisch;Deutschsoziale Reformpartei;Abgeordneter;evangelisch;Rittergut Bubenrode;Provinz Hessen-Nassau;6 Kassel;Redakteur;Autor/Journalist;hier S. 4824;-3.2714;0;19
104;102;Protokolle_1911_02_22_02;Sitzung;XII;II;;264;132;22.02.1911;1911;Dr. jur. Ernst Mueller;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1911 (Nr. 546, 548, 721 der Anlagen) — Reichsjustizverwaltung: Besoldung des Staatssekretaers (Fortsetzung und Schluss der Diskussion);"widernat*; paedera*";4841–4845;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Muehlhof;Koenigreich Bayern;1 Sachsen-Meiningen;Koeniglicher Landgerichtsrat;Jurist;hier S. 4844;-3.1126;0;26
105;103;Protokolle_1911_02_22_03;Sitzung;XII;II;;264;132;22.02.1911;1911;Dr. Hermann Lisco;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1911 (Nr. 546, 548, 721 der Anlagen) — Reichsjustizverwaltung: Besoldung des Staatssekretaers (Fortsetzung und Schluss der Diskussion);"paedera*; paragraph175";4822–4824;0;k.A.;k.A.;"Wirklicher Geheimer Rat; Staatssekretaer des Reichsjustizamts; Bevollmaechtigter zum Bundesrat";evangelisch;Berlin;Provinz Brandenburg;;"Amtsrichter; Oberlandesgerichtsrat; Oberjustizrat";Jurist;hier S. 4823f.;-9.0429;0;52
106;104;Protokolle_1911_02_24_01;Sitzung;XII;II;;264;134;24.02.1911;1911;Dr. jur. Ernst Mueller;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1911 (Nr. 546, 548, 757 der Anlagen) — Verwaltung des Reichsheeres, Besoldung des Kriegsministers;"moltke-harden; eulenburg";4907–4915;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Muehlhof;Koenigreich Bayern;1 Sachsen-Meiningen;Koeniglicher Landgerichtsrat;Jurist;hier S. 4914;-2.6588;0;15
107;105;Protokolle_1911_02_28_01;Sitzung;XII;II;;264;137;28.02.1911;1911;Dr. jur. Ernst Mueller;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1911 (Nr. 546, 548, 549, 757, 777 der Anlagen) -- Verwaltung des Reichsheeres: Stand der Beurlaubten und Initiativen waehrend der Uebungen;moltke-harden;5043;0;linksliberal;Fortschrittliche Volkspartei;Abgeordneter;evangelisch;Muehlhof;Koenigreich Bayern;1 Sachsen-Meiningen;Koeniglicher Landgerichtsrat;Jurist;hier S. 5043;-0.7192;0;4
108;106;Protokolle_1912_05_10_01;Sitzung;XIII;I;;285;59;10.05.1912;1912;Heinrich Schulz;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1912, - Verwaltung des Reichsheeres, Besoldung des Kriegsministers, bezw. Heereswesen im allgemeinen;eulenburg;1867–1869;0;sozialdemokratisch;SPD;Abgeordneter;Dissident;Bremen;Hansestadt Bremen;4 Erfurt;"Lehrer; Realschullehrer; Redakteur";Lehrer/Professor;hier S. 1868;-0.4696;0;15
109;107;Protokolle_1912_05_18_01;Sitzung;XIII;I;;285;65;18.05.1912;1912;Dr. phil. Eduard David;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1912: 1. Reichskanzler und Reichskanzlei: Besoldung des Reichskanzlers (Fortsetzung) bezw. Des Staatssekretaers des Auswaertigen Amts, bezw. Auswaertige Politik im allgemeinen;eulenburg;2085–2092;0;sozialdemokratisch;SPD;Abgeordneter;evangelisch;Ediger an der Mosel;Rheinprovinz;9 Hessen;"Schriftsteller; Publizist";Autor/Journalist;hier S. 2086;-0.0792;0;15
110;108;Protokolle_1913_02_08_01;Sitzung;XIII;I;;287;107;08.02.1913;1913;Dr. jur. Oskar Cohn;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1913, — Reichs-Justizverwaltung (Antrag der Budgetkommission Nr. 687 der Anlagen) -- Besoldung des Staatssekretaers, bezw. Rechtspflege im allgemeinen;eulenburg;3583–3596;0;sozialdemokratisch;SPD;Abgeordneter;juedisch;Guttentag;Provinz Schlesien;1 Erfurt;Rechtsanwalt;Jurist;hier S. 3589–3593;0.4193;0;11
111;109;Protokolle_1913_02_08_02;Sitzung;XIII;I;;287;107;08.02.1913;1913;Dr. jur. Emil Belzer;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1913, — Reichs-Justizverwaltung (Antrag der Budgetkommission Nr. 687 der Anlagen) -- Besoldung des Staatssekretaers, bezw. Rechtspflege im allgemeinen;eulenburg;3596–3602;0;politischer Katholizismus;Zentrum;Abgeordneter;katholisch;Baden-Baden;Grossherzogtum Baden;1 Sigmaringen;Koeniglich Preussischer Amtsgerichtsrat;Jurist;hier S. 3602;1.1995;0;19
112;110;Protokolle_1913_02_08_03;Sitzung;XIII;I;;287;107;08.02.1913;1913;Dr. Hermann Lisco ;Fortsetzung der zweiten Beratung des Reichshaushaltsetats fuer das Rechnungsjahr 1913, — Reichs-Justizverwaltung (Antrag der Budgetkommission Nr. 687 der Anlagen) -- Besoldung des Staatssekretaers, bezw. Rechtspflege im allgemeinen;eulenburg;3602–3604;0;k.A.;k.A.;"Wirklicher Geheimer Rat; Staatssekretaer des Reichsjustizamts; Bevollmaechtigter zum Bundesrat";evangelisch;Berlin;Provinz Brandenburg;;"Amtsrichter; Oberlandesgerichtsrat; Oberjustizrat";Jurist;hier S. 3602;-0.4454;0;7
