;stopwords;n_of_lexicon_words
409;gegeben;0
410;gegen;0
411;gehabt;0
412;gehen;0
413;geht;0
414;gekommen;0
415;gekonnt;0
416;gemacht;0
418;gemaess;0
419;gen;0
420;genommen;0
421;genug;0
422;ger;0
423;gern;0
424;ges;0
425;gesagt;0
426;gesehen;0
427;gest;0
428;gestern;0
429;gestrige;0
430;getan;0
431;geteilt;0
432;geteilte;0
433;getragen;0
434;gewesen;0
435;gewissermaßen;0
436;gewollt;0
437;geworden;0
438;ggf;0
439;gib;0
440;gibt;0
441;gleich;0
442;gleichwohl;0
443;gleichzeitig;0
444;gluecklicherweise;0
445;gmbh;0
446;gr;0
447;grund;0
448;groeßere;0
449;groeßerem;0
450;groeßeren;0
451;gaengig;0
452;gaengige;0
453;gaengigen;0
454;gaengiger;0
455;gaengiges;0
456;gaenzlich;0
457;h;0
458;hab;0
459;habe;0
460;haben;0
461;haette;0
462;halb;0
463;hallo;0
464;halten;0
465;hand;0
466;hast;0
467;hat;0
468;hatte;0
469;hatten;0
470;hattest;0
471;hattet;0
472;haupt;0
473;her;0
474;heraus;0
475;herein;0
476;herr;0
477;heute;0
478;heutige;0
479;hier;0
480;hiermit;0
481;hiesige;0
482;hiesigen;0
483;hin;0
484;hinein;0
485;hinten;0
486;hinter;0
487;hinterher;0
488;hub;0
489;hundert;0
490;haett;0
491;haette;0
492;haetten;0
493;i;0
494;ich;0
495;igitt;0
496;ihm;0
497;ihn;0
498;ihnen;0
499;ihr;0
500;ihre;0
501;ihrem;0
502;ihren;0
503;ihrer;0
504;ihres;0
505;ii;0
506;iii;0
507;iiii;0
508;im;0
509;immer;0
510;immerhin;0
511;important;0
512;in;0
513;indem;0
514;inder;0
515;indessen;0
516;info;0
517;infolge;0
518;innen;0
519;innerhalb;0
520;ins;0
521;insofern;0
522;inzwischen;0
523;irgend;0
524;irgendeine;0
525;irgendwas;0
526;irgendwen;0
527;irgendwer;0
528;irgendwie;0
529;irgendwo;0
530;ist;0
531;iv;0
532;ix;0
533;j;0
534;ja;0
535;jahr;0
536;jahres;0
537;jan;0
538;januar;0
539;je;0
540;jede;0
541;jedem;0
542;jeden;0
543;jedenfalls;0
544;jeder;0
545;jederlei;0
546;jedes;0
547;jedoch;0
548;jemand;0
549;jene;0
550;jenem;0
551;jenen;0
552;jener;0
553;jenes;0
554;jenseits;0
555;jetzt;0
556;joh;0
557;jos;0
558;jul;0
559;juli;0
560;jun;0
561;junge;0
562;juni;0
563;jaehrig;0
564;jaehrige;0
565;jaehrigen;0
566;jaehriges;0
567;k;0
568;kam;0
569;kann;0
570;kannst;0
571;kaum;0
572;kein;0
573;keine;0
574;keinem;0
575;keinen;0
576;keiner;0
577;keinerlei;0
578;keines;0
579;keineswegs;0
584;koennen;0
585;koennt;0
586;koennte;0
587;koennten;0
588;komme;0
589;kommen;0
590;kommt;0
591;konnte;0
592;konnten;0
595;koenn;0
596;koenne;0
597;koennen;0
598;koennt;0
599;koennte;0
600;koennten;0
